,airport_min_dist,bus_line_min_dist,bus_st_count_100,bus_st_count_1000,bus_st_count_150,bus_st_count_200,bus_st_count_25,bus_st_count_250,bus_st_count_300,bus_st_count_50,bus_st_count_500,bus_st_min_dist,fire_count_100,fire_count_1000,fire_count_150,fire_count_200,fire_count_25,fire_count_250,fire_count_300,fire_count_50,fire_count_500,fire_min_dist,fw_exit_count_100,fw_exit_count_1000,fw_exit_count_150,fw_exit_count_200,fw_exit_count_25,fw_exit_count_250,fw_exit_count_300,fw_exit_count_50,fw_exit_count_500,fw_exit_min_dist,hosp_count_100,hosp_count_1000,hosp_count_150,hosp_count_200,hosp_count_25,hosp_count_250,hosp_count_300,hosp_count_50,hosp_count_500,hosp_min_dist,lat,lm_acc_hwy_min_dist,lng,maj_rd_min_dist,min_rd_min_dist,mul_ln_hwy_min_dist,num_rt_hwy_min_dist,pol_count_100,pol_count_1000,pol_count_150,pol_count_200,pol_count_25,pol_count_250,pol_count_300,pol_count_50,pol_count_500,pol_min_dist,rests_bars_count_100,rests_bars_count_1000,rests_bars_count_150,rests_bars_count_200,rests_bars_count_25,rests_bars_count_250,rests_bars_count_300,rests_bars_count_50,rests_bars_count_500,rests_bars_min_dist,sbwy_line_min_dist,sbwy_st_count_100,sbwy_st_count_1000,sbwy_st_count_150,sbwy_st_count_200,sbwy_st_count_25,sbwy_st_count_250,sbwy_st_count_300,sbwy_st_count_50,sbwy_st_count_500,sbwy_st_min_dist,train_line_min_dist,train_st_count_100,train_st_count_1000,train_st_count_150,train_st_count_200,train_st_count_25,train_st_count_250,train_st_count_300,train_st_count_50,train_st_count_500,train_st_min_dist
0,7022.151824749112,225.88343745158076,0,23,0,0,0,0,0,0,4,305.3198240491562,0,0,0,0,0,0,0,0,0,1241.8414933542495,0,1,0,0,0,0,0,0,0,704.1484741176084,0,0,0,0,0,0,0,0,0,3239.076613823229,42.396751412429374,692.6985900415157,-71.0785328185328,451.1973287768036,103.06844837864251,481.95622797517194,716.9870108251282,0,1,0,0,0,0,0,0,0,924.7495241465671,0,13,1,3,0,4,6,0,8,125.78207151536014,106.87873301034098,0,2,0,0,0,0,0,0,0,523.4616948004973,113.64368129737794,0,0,0,0,0,0,0,0,0,3332.7006630651026
1,7092.239785375477,147.34634671960976,0,22,0,0,0,0,1,0,4,257.2629041119973,0,0,0,0,0,0,0,0,0,1171.6774772809667,0,1,0,0,0,0,0,0,0,629.554716834016,0,0,0,0,0,0,0,0,0,3185.4798986032806,42.396751412429374,620.2212364532949,-71.07953667953667,370.54530502815254,86.81362315398789,401.7212793480578,648.6339096655937,0,1,0,0,0,0,0,0,0,893.4371664689469,0,13,3,4,0,4,8,0,8,112.35788092939285,189.53042240020946,0,2,0,0,0,0,0,0,0,547.7238610964662,196.29354552859888,0,0,0,0,0,0,0,0,0,3342.431504328285
2,7162.596184866266,75.64797012663524,0,21,0,0,0,1,2,0,4,229.80722122679373,0,0,0,0,0,0,0,0,0,1103.2451585476442,0,1,0,0,0,0,0,0,0,557.2400535730981,0,0,0,0,0,0,0,0,0,3133.147704946166,42.396751412429374,557.4401346753498,-71.08054054054054,289.5427328325094,75.64716106642067,321.5604603819012,583.9905652204733,0,1,0,0,0,0,0,0,0,868.8839538544477,0,14,3,4,0,4,8,0,8,112.25034863881608,272.18212059001644,0,2,0,0,0,0,0,0,0,582.798777530406,278.94343230620063,0,0,0,0,0,0,0,0,0,3332.088592530948
3,7233.213190018826,18.293606489275234,0,26,0,0,0,1,2,0,4,230.4379878557088,0,0,0,0,0,0,0,0,0,1036.8874586556235,0,1,0,0,0,0,0,0,1,488.21827194914835,0,0,0,0,0,0,0,0,0,3082.14444503827,42.396751412429374,494.3431836123772,-71.0815444015444,208.44675723681823,18.293521971198754,241.6573997876131,524.4306133284596,0,1,0,0,0,0,0,0,0,851.6746720014145,0,13,1,3,0,4,4,0,8,114.79628545303717,354.83382757924574,0,2,0,0,0,0,0,0,0,626.8740759895244,361.5933416271479,0,0,0,0,0,0,0,0,0,3252.7825535285697
4,7304.083242102045,20.107259734376118,0,32,0,0,0,0,1,0,7,258.95004110670715,0,1,0,0,0,0,0,0,0,973.0289188698904,0,1,0,0,0,0,0,0,1,424.10016832847356,0,0,0,0,0,0,0,0,0,3032.537172346743,42.396751412429374,439.75624943308947,-71.08254826254827,129.33641341563182,20.107279339731953,160.69102979060094,467.0165762749343,0,1,0,0,0,0,0,0,0,842.2596009666435,0,15,0,1,0,3,3,0,8,165.58728235710365,437.48554336268757,0,2,0,0,0,0,0,0,0,678.1972457764224,444.2309944851971,0,0,0,0,0,0,0,0,0,3173.647556272445
5,7375.199046340683,57.80958632768659,0,33,0,0,0,0,0,0,7,307.687717584001,0,1,0,0,0,0,0,0,0,912.1945543584603,0,1,0,0,0,0,0,0,1,367.46168841005255,0,0,0,0,0,0,0,0,0,2984.3955009020237,42.396751412429374,376.60338408811816,-71.08355212355212,56.306416650191025,57.80965672425464,82.31458663231673,405.17278675159184,0,1,0,0,0,0,0,0,0,840.9005831503492,0,17,0,0,0,1,1,0,8,235.20846825831885,520.1372679385886,0,2,0,0,0,0,0,0,0,735.2520698175341,526.8691086840623,0,0,0,0,0,0,0,0,0,3094.696722012724
6,7446.553561812489,90.06158335695457,0,36,0,0,0,0,0,0,7,343.49656634260595,0,1,0,0,0,0,0,0,0,855.0301082769021,0,1,0,0,0,0,0,0,1,322.27084895876123,0,0,0,0,0,0,0,0,0,2937.7914821392274,42.396751412429374,318.73326051932804,-71.08455598455599,12.146187422695082,28.253137374198197,0.9673641464555389,351.9783549114919,0,1,0,0,0,0,0,0,0,847.636368318218,0,17,0,0,0,0,0,0,6,311.2712860768075,602.7890013041357,0,2,0,0,0,0,0,0,0,796.8082662198831,609.5110043185784,0,0,0,0,0,0,0,0,0,3015.944513747346
7,7518.139991697287,137.00385748585268,0,36,0,0,0,0,1,0,9,287.373358405429,0,1,0,0,0,0,0,0,0,802.3203974430296,0,1,0,0,0,0,1,0,1,293.85740708619596,0,0,0,0,0,0,0,0,0,2892.799433401319,42.396751412429374,257.3501642047033,-71.08555984555984,55.97807681916045,21.566163297248508,54.32264233858802,295.1489165623203,0,1,0,0,0,0,0,0,0,862.2772766797004,0,16,0,0,0,0,0,0,3,390.0250223505077,685.4407434563834,0,2,0,0,0,0,0,0,0,861.9019230748335,692.1553268921552,0,0,0,0,0,0,0,0,0,2937.406907088105
8,7589.951773921571,195.95393199409384,0,37,0,0,0,3,4,0,6,242.13178092343296,0,1,0,0,0,0,0,0,0,754.9990114498479,0,2,0,0,0,0,1,0,1,287.24400652230435,0,0,0,0,0,0,0,0,0,2849.495712211754,42.396751412429374,188.83550800778985,-71.0865637065637,134.66197044487313,31.25136569549184,133.71163591135323,238.96573885775092,0,1,0,0,0,0,0,0,0,884.4308100056306,0,16,0,0,0,0,0,0,1,470.1192796542968,768.09249439127,0,2,0,0,0,0,0,0,0,929.7903751961227,774.8012997866427,0,0,0,0,0,0,0,0,0,2859.10158698952
9,7661.982572149753,134.8402050131454,0,38,0,2,0,3,5,0,6,181.2940449152749,0,1,0,0,0,0,0,0,0,714.1379050846863,0,2,0,0,0,0,0,0,1,303.8574186063188,0,0,0,0,0,0,0,0,0,2807.958430716813,42.396751412429374,134.84034101367828,-71.08756756756758,216.32592769367912,7.022183850305018,215.34230861244652,179.00684803093384,0,1,0,0,0,0,0,0,0,913.5505899056469,0,16,0,0,0,0,0,0,0,550.9697547590189,850.744254110665,0,1,0,0,0,0,0,0,0,999.9045272044737,857.4484457913935,0,0,0,0,0,0,0,0,0,2781.048174841878
