,lat,lng,day,minute,hour,decibelMean,n_agg
0,-43.51993732668865,172.56766662145884,2,14.0,22,47.44544776634075,2
1,-43.51993359202793,172.56766334542664,2,28.0,22,66.4235504673035,1
2,-43.51993392955284,172.56766052740966,2,24.0,23,81.03318965933147,1
3,-38.11837554096253,176.30190333202563,5,38.0,6,63.178688802795286,1
4,-35.004072063635114,138.54221667175975,1,17.0,1,71.10877830225516,1
5,-33.965335954012325,151.03130646064042,1,31.0,23,53.86505038683541,1
6,-33.96354816888638,151.03171866168458,1,3.0,0,39.775411997025216,1
7,-33.96370035133694,151.03151240400132,1,1.0,7,75.18417908868359,1
8,-33.96360815040205,151.0316860770351,1,42.0,8,63.543040481764706,1
9,-33.95436148628029,151.0165574961817,2,33.0,3,72.14174654069564,1
10,-2.1916076072331516,-79.87988889592465,4,14.0,16,46.883094582522624,1
11,-2.1915570907721658,-79.87982125102207,4,11.0,17,70.82313893944566,1
12,-2.1914281729866585,-79.87993968471763,4,8.0,15,49.018593682280034,1
13,-2.1487331483533127,-79.862797474563,2,54.0,13,51.603599939782654,1
14,-2.149214844079216,-79.86243219955594,2,32.0,3,45.41287558829788,1
15,-2.1477302013531445,-79.86458233726864,1,15.5,18,75.81293263338655,2
16,-2.147110663356397,-79.86490560702967,1,12.0,16,64.22618810329175,1
17,-2.1454388621078433,-79.86495426881172,1,27.0,20,58.51493680696763,1
18,-2.112103602850914,37.52414309423186,4,22.0,7,70.66470935046023,1
19,-2.077616419999999,-79.85999912999998,1,28.0,12,56.4218310451756,1
20,-2.077202980315886,-79.86000205856644,2,24.0,12,76.89331810319887,1
21,-2.0745875205172535,-79.86002836073075,2,26.0,12,76.8675801296288,1
22,-2.0745315961559063,-79.85998702242956,1,29.0,13,59.368106507727674,1
23,-2.072340072059426,-79.86013932276289,2,58.0,13,82.22170466667599,1
24,-2.071148199031196,-79.85777948059128,2,9.0,13,71.43071887831567,1
25,1.3062958730190264,103.917685025373,3,57.0,2,72.10949688949228,1
26,1.3070337471837057,103.91659161942673,3,51.0,2,70.60094378366595,1
27,1.3199619777639298,103.93531039303336,3,33.0,2,65.00352997757837,3
28,1.3202010966968394,103.93532603916935,3,41.0,2,78.6057794766962,1
29,1.3208856101408988,103.93508726220492,2,43.0,14,47.30924742512389,1
30,3.1642497618272816,101.65819013931778,4,6.5,9,61.98357322429369,2
31,3.164258379286552,101.65820404718487,2,56.0,11,72.29478531764497,1
32,10.781800647728273,106.64279662703129,0,30.2,14,57.998322484604884,5
33,19.81005744343735,-102.70456381878218,5,10.5,1,75.61253094802979,2
34,19.81005859355798,-102.70453996031135,4,12.0,18,77.48882856020414,1
35,19.81037652121839,-102.70431803548959,4,54.0,23,83.11395938185584,1
36,19.812352177705442,-102.70087340856222,4,15.0,13,66.91672378439947,1
37,19.812511894870376,-102.70074089067309,4,9.0,13,34.538949560890984,1
38,21.11560254828235,-86.88377803569875,4,17.0,16,49.24187163277002,1
39,21.26855384,-157.81994999,4,20.0,2,59.57693583052919,1
40,21.26855384,-157.81994999,3,44.0,18,58.334783176178895,1
41,21.26855384,-157.81994999,0,22.0,20,66.08407962043205,1
42,21.26855384,-157.81994999,0,32.0,20,49.04721522475786,1
43,21.2819733,-157.8292103,3,34.0,17,57.69296713785182,1
44,21.2997568,-157.81615018,3,23.0,20,62.08859987297645,1
45,24.81146843999999,67.06054122999997,4,13.0,23,60.22208731818421,5
46,25.31244621307918,55.49763506411766,2,50.0,17,48.712290395686,1
47,25.3125530306711,55.497796633529475,3,45.0,10,55.87438811433586,1
48,25.31259881961507,55.49795474246643,6,5.0,13,54.872135184912096,1
49,25.31264023844817,55.49792522142927,2,52.0,17,70.68826877022998,1
50,25.312544287520307,55.497896982032564,3,46.0,18,50.0,1
51,25.31250942090025,55.497650041160576,0,32.5,21,52.40390362508784,2
52,25.632393585596752,-80.43324767330499,3,36.0,2,58.789817839318324,1
53,25.632498523566017,-80.43334500237316,3,38.0,2,58.97343076791454,1
54,25.63254663393307,-80.43319198120231,3,35.0,2,60.593831412537305,3
55,25.695204140160623,-80.31002477611257,3,50.0,1,58.264817062629106,2
56,25.695225227188747,-80.30995581640367,3,57.0,1,64.1393974209221,3
57,25.695219182996315,-80.30994528284886,3,1.0,2,67.8583916455233,1
58,25.73862456581176,-80.26326845420758,0,38.0,11,63.680970721792534,1
59,25.74054762677061,-80.27878480867494,3,28.0,16,65.7921608783372,1
60,25.7436719929851,-80.22321449442906,5,23.0,1,57.82437749476957,1
61,25.76770481655911,-80.3538495116684,3,34.0,20,42.905700017573146,1
62,25.78760417509991,-80.2678428892412,3,32.0,13,57.68941090267947,1
63,25.788582433400965,-80.26793249135855,3,42.0,13,77.2444260277437,1
64,25.797876817507948,-80.28146409824475,3,8.0,14,72.92627035208417,1
65,25.890581449313558,-80.22607385535447,5,6.0,1,48.04538886848025,1
66,25.8907364239226,-80.22606731399915,5,10.5,1,46.242228553926104,2
67,25.89077295741261,-80.22601394553291,6,25.5,1,59.20982277644816,2
68,26.11433787739473,-80.10453851901005,1,27.0,12,72.19129934252699,1
69,26.11673011446941,-80.10535919114956,3,7.0,13,69.26805186715998,1
70,26.119263921888656,-80.13889610774828,5,59.0,13,76.14660634799553,1
71,26.126297470206513,-80.10360687047252,0,13.0,12,66.60831461499376,1
72,26.127127823444198,-80.13710942126824,5,25.5,13,76.08205760404414,2
73,26.12839889715065,-80.13658706106257,5,0.0,10,62.077092864625314,1
74,26.12825216858253,-80.13660228121907,6,2.0,13,61.98262463883457,1
75,26.12828843929991,-80.13677830486517,6,9.0,13,58.6158791133484,1
76,26.128241209987568,-80.13657491714193,0,48.0,13,72.4682459057252,1
77,26.128397939953643,-80.13680047317821,2,48.0,13,74.70411777817121,1
78,26.12817026498897,-80.1366836665452,6,13.0,14,57.93120610720586,1
79,26.12834658307139,-80.13680730064482,1,41.0,18,75.6920034004757,2
80,26.12833042210957,-80.13694763122416,2,39.0,18,75.53267926017551,2
81,26.12839017997135,-80.13623694896711,6,0.0,13,63.43474467140182,1
82,26.128255482787385,-80.13634901501251,5,26.0,13,66.99027266226804,1
83,26.12823813932439,-80.13632916022425,0,2.5,21,74.52372663664072,2
84,26.128785051429762,-80.13709701605156,2,7.0,13,77.12211388826404,1
85,26.12850362903077,-80.13633191593004,3,30.0,19,70.28321033763628,1
86,26.130176992179948,-80.13656342409564,0,39.0,11,71.33794670256364,1
87,26.13074444702466,-80.13678613126291,4,15.0,12,71.54068276534458,1
