,lat,lng,day,minute,hour,decibelMean,n_agg
0,42.24565606220335,-71.02265713984424,3,56.0,11,55.63824631936912,1
1,42.24562831338372,-71.02266963014092,3,19.0,12,70.67550641647483,1
2,42.24951134444333,-71.07746107429786,4,22.0,17,52.07084814398864,1
3,42.251006879342434,-71.07105375326539,3,3.6666666666666665,3,55.513049624379285,3
4,42.25521940741898,-71.0456779786116,6,38.5,4,60.04927466551756,2
5,42.25530572006689,-71.04569134774715,3,58.5,9,59.198769795744155,2
6,42.2553235944754,-71.04581519036651,4,0.0,10,52.65747512796938,1
7,42.25533767607273,-71.04559080681861,2,12.0,10,52.88731932917114,1
8,42.25533553868742,-71.04565182707371,4,18.0,14,55.404525610044615,1
9,42.255217898676406,-71.04575718759656,0,21.0,20,64.33135859230906,1
10,42.25537235179807,-71.04545995733268,0,31.0,5,59.40852147080757,1
11,42.25558967625589,-71.04558712641796,4,13.0,10,53.810202573007174,1
12,42.25816445366291,-71.04064094835005,4,55.0,23,69.8440808889215,1
13,42.25958313801584,-71.12331408108193,1,26.0,23,67.8352932378393,1
14,42.26120220000001,-71.0898555,6,52.0,18,48.86619885014637,1
15,42.26288786528689,-71.01899835344385,6,10.0,0,61.63229022222537,1
16,42.26443053227128,-71.16782133474123,0,14.0,14,64.00544783067984,1
17,42.264924266666654,-71.16052156666666,0,32.0,10,66.15810452388646,3
18,42.2649573,-71.16058425,3,3.0,11,68.52210477390496,2
19,42.264914266666665,-71.16052619999999,3,11.666666666666664,11,66.5217134481034,3
20,42.2649217,-71.1605275,4,45.0,20,59.561032678531845,1
21,42.264907750000006,-71.16053425000001,0,12.0,21,66.49119359928936,2
22,42.2649284,-71.1605069,4,39.0,21,55.95258006806779,1
23,42.26487685,-71.16038745,4,48.5,20,70.31522110790146,2
24,42.2731561,-71.16323259999999,0,29.0,10,63.783362652208346,1
25,42.27471479218665,-71.12162187702127,4,22.0,18,45.135795361118184,1
26,42.27717852968792,-71.0486168198572,6,51.0,17,50.49216564951933,1
27,42.278003935673645,-71.13644394535915,2,7.0,12,63.61591080565381,1
28,42.27794772153282,-71.13641676120375,0,10.0,20,61.629377606164,1
29,42.27931960024152,-71.12997913739748,6,51.0,11,68.22735113485358,1
30,42.279181103261436,-71.12984634011156,6,55.66666666666666,11,70.36005242291718,3
31,42.279102592768396,-71.12977311021753,6,0.0,12,70.26666035133073,1
32,42.2800997039697,-71.13089511177607,0,31.0,19,54.339252322635424,1
33,42.28048981764388,-71.12398409007905,6,24.0,10,60.01969758345597,1
34,42.28072109425996,-71.12452492582166,3,20.0,11,71.34088567048329,1
35,42.28056490971818,-71.12416605300211,4,17.333333333333332,9,62.87760504425086,3
36,42.28053018677461,-71.12428958526961,4,25.0,9,67.69539733299575,1
37,42.28070021684381,-71.12426607107297,6,37.0,9,52.92967389479585,1
38,42.2807199463284,-71.12431711754377,6,46.8,9,53.136641605400584,5
39,42.28077552841104,-71.1243290034733,6,57.0,9,50.92789160475454,2
40,42.280664207711375,-71.12410455582781,6,4.0,10,49.651028348752995,4
41,42.28069421384472,-71.12412045887201,6,17.333333333333332,10,54.19389049145949,3
42,42.280678635738724,-71.12432553386887,5,29.0,10,45.27585629647695,4
43,42.280615219887906,-71.1239657016956,6,24.0,10,62.998851297482965,2
44,42.28066006456381,-71.12427773207911,5,44.0,10,52.338073258226174,1
45,42.28071577365544,-71.12432949748194,5,7.0,11,50.9068256492004,1
46,42.28100492769769,-71.12387278626302,6,5.0,11,67.5872332718014,1
47,42.280809525439786,-71.12428166444519,3,17.5,11,66.4896160508115,2
48,42.280670459337784,-71.12428374608959,5,9.5,11,61.21517732839406,2
49,42.28071066411424,-71.12422890814406,6,13.5,11,56.550209153750075,2
50,42.28069239322476,-71.12421358918715,3,28.0,11,59.23411600160061,3
51,42.28170285811039,-71.13308874851977,6,57.0,11,44.21249287037801,1
52,42.281716348246434,-71.1330878011302,6,0.0,12,44.78559629761729,1
53,42.28168543935389,-71.13299773713644,6,13.666666666666664,12,37.820218174852094,3
54,42.282705176661054,-71.12598859711655,6,1.0,11,66.06215631104965,1
55,42.285303807515604,-71.12576754956372,3,24.0,10,51.488915429388754,1
56,42.28544006593738,-71.12582221633859,1,51.0,11,59.53270795974903,1
57,42.28521902991305,-71.12570112764834,1,55.0,11,64.20178514208071,2
58,42.2859932,-71.0677834,6,18.0,13,61.162179847746465,1
59,42.28698537134668,-71.17086735457771,6,38.0,13,40.75054178304315,1
60,42.2869079467303,-71.13151595934399,2,7.0,21,82.7126230006814,1
61,42.287168288642796,-71.1309612449921,0,33.0,10,81.57137445304733,1
62,42.28998455523348,-71.13077529122263,6,46.0,14,33.92168699897809,1
63,42.2897701,-71.1296324,6,50.0,11,70.66751830291791,1
64,42.290204,-71.1289953,6,52.0,11,69.64440828470578,1
65,42.2904979,-71.12865759999998,6,53.0,11,68.8746779244639,1
66,42.2901441,-71.1293417,6,23.0,12,79.72269990824182,1
67,42.29006243700232,-71.06381101846458,1,27.0,1,61.380578990796145,2
68,42.290068040444474,-71.06373609329069,1,21.0,2,49.33150410102067,1
69,42.29008421854344,-71.06377011791632,1,23.5,2,61.80764159189226,2
70,42.29023184892501,-71.06391700123321,4,29.0,23,60.774366710736686,1
71,42.29034437162071,-71.06383654496622,1,48.0,23,49.400273358342545,1
72,42.29070415,-71.13353405000002,6,28.5,12,68.13763723996794,2
73,42.2909342,-71.1334141,6,36.0,9,54.74444269141478,1
74,42.29073015,-71.13321915,6,47.5,9,57.58747214671307,2
75,42.29081542500001,-71.13343,6,55.25,9,64.97460597100411,4
76,42.29079996666667,-71.1334088333333,6,2.333333333333333,10,62.26592099547478,3
77,42.2909202,-71.1333719,6,8.0,10,70.62109053062031,1
78,42.2906945,-71.133444,6,19.0,12,74.85930067952977,1
79,42.2912615,-71.1318601,6,26.0,12,69.91871447477611,1
80,42.2909949,-71.1304729,6,24.0,12,72.00853005014754,1
81,42.2910191,-71.1280088,6,46.0,11,67.2541941567044,1
82,42.29107256666666,-71.12790856666666,6,55.66666666666666,11,72.38329041718576,3
83,42.2908657,-71.12771540000001,6,9.0,12,63.91006495630922,1
84,42.2906065,-71.1274025,6,20.0,12,69.5695075572862,1
85,42.291034,-71.12494040000001,6,7.0,12,63.500484063838776,1
86,42.2907292,-71.12312740000002,6,15.5,12,71.24055171391342,2
87,42.2914949,-71.12238470000001,6,4.0,12,78.3787787762932,1
88,42.2919636,-71.12894255,6,48.0,11,67.96200868520884,2
89,42.29176696666666,-71.12867879999999,6,57.33333333333334,11,75.19619024910894,3
90,42.2919525,-71.129459,6,11.0,12,73.21513409468207,1
91,42.2923562,-71.12370849999998,6,6.0,12,74.39803086161356,1
92,42.2917401,-71.1221581,6,18.0,12,68.37775674971994,1
93,42.2928166,-71.13004575,6,1.5,12,74.87660083399012,2
94,42.29335125,-71.12476640000001,6,54.5,11,75.83109948885304,2
95,42.2944242,-71.1306966,6,13.0,12,75.83046233244085,1
96,42.294689,-71.1307759,6,13.0,12,73.41788077881219,1
97,42.29776364289438,-71.11077359884149,5,14.0,5,23.955069154142752,1
98,42.300925460540064,-71.06007251294425,2,6.0,23,51.707176616416206,1
99,42.306287745053226,-71.11186131841606,1,1.0,2,44.2,1
100,42.3067645,-71.10374905,3,53.5,11,66.03675738411397,2
101,42.306749,-71.0934631,5,30.4,13,71.92115188223755,5
102,42.31043250000001,-71.0904462,6,54.0,12,65.19604815189888,1
103,42.3105136,-71.0981287,5,1.0,13,73.62453822079017,1
104,42.31116770000001,-71.0982454,5,10.0,13,73.84572328503725,1
105,42.31116770000001,-71.0982454,5,35.0,13,75.02401608621967,1
106,42.31083725000001,-71.09823047500002,5,44.0,13,71.41460325535516,4
107,42.312416070842296,-71.108598785026,6,13.0,16,53.90698118608832,1
108,42.31237920770757,-71.10857063280271,6,25.0,16,49.909024597134895,1
109,42.3119961,-71.097874,5,6.0,13,71.21908368385718,1
110,42.3119961,-71.097874,5,9.0,13,73.25658872181565,1
111,42.3121453,-71.0867488,0,48.5,12,68.9215909201536,2
112,42.3122698,-71.0869503,4,38.0,12,71.702232527111,1
