,lat,lng
0,42.28681990006626,-71.14835395765499
1,42.36180177532818,-71.06034389008425
2,42.32835844229929,-71.08408612020281
3,42.298027642339285,-71.05908863798234
4,42.28468258514518,-71.09169052089966
5,42.34112654160086,-71.05495412758916
6,42.371034528394816,-71.0388061338555
7,42.30968590458858,-71.10461182023596
8,42.25642882319259,-71.12427817688592
9,42.33944705608742,-71.0692475295493
10,42.334187667686486,-71.09070774758698
11,42.33786943032712,-71.06351875796652
12,42.344888227080766,-71.03513314572234
13,42.349361133318745,-71.15059023916017
14,42.33368682966003,-71.12120050143102
15,42.36724637624591,-71.08594946822856
16,42.388993215307984,-71.03991438691384
17,42.24810088309203,-71.17396901876533
18,42.41257249845771,-71.04475320394643
19,42.35936171234558,-71.06234291566957
20,42.34610932327054,-71.03963505787426
21,42.32253173421029,-71.0490077831107
22,42.3602617955526,-71.14617651152638
23,42.41439497824284,-70.9893995949509
24,42.36685290914874,-71.06885040884026
25,42.25228173251979,-71.07939413908669
26,42.255770162920406,-70.99603125054679
27,42.401764259959556,-70.99966645114156
28,42.379222249727874,-71.09224057343114
29,42.41926712261117,-71.15222448744177
30,42.396166073919225,-71.17768235754681
31,42.42671832978552,-71.07307559700482
32,42.41583565952957,-71.1100595944617
33,42.40431751988925,-71.08321828215621
34,42.37156331563785,-71.20047467548518
35,42.37676631863752,-70.9844155199357
36,42.37400333272321,-71.02851810936
37,42.33435837213326,-71.06766471098702
38,42.40253904709711,-71.09738051249579
39,42.259756752902845,-71.20876513450402
40,42.34628960641721,-71.03843062615572
