,lat,lng
0,42.3468614240808,-71.05875035812313
1,42.34769451366905,-71.07884400064398
2,42.39763265197358,-71.14222991029379
3,42.35693674863372,-71.12046703468395
4,42.2288938082198,-71.18183624833789
5,42.227701347958885,-71.01456069872592
6,42.24258979656373,-71.02712101592525
7,42.36789054260304,-71.02548828428041
8,42.22805847337639,-71.01034829466771
9,42.22340000463269,-71.17102100253369
10,42.35616607823332,-71.18608503106745
11,42.275005100884755,-71.05020676706711
12,42.41526508514138,-71.19442049743088
13,42.33604436159599,-71.06510937386078
14,42.22574820647009,-71.00466690742266
15,42.359826333187854,-71.05214979107394
16,42.40260723483394,-71.15654362819848
17,42.25496233758133,-71.03931127818396
18,42.299242167513995,-71.04776890409104
19,42.269718877582484,-71.20016877032307
20,42.370554693732,-71.06516216507103
21,42.41420843987142,-71.10376213562931
22,42.22757104660862,-71.02024200373953
23,42.4200266037583,-71.10382005608439
24,42.38393796744568,-71.07646878141061
25,42.30174865685121,-71.04959764060169
26,42.35697933216743,-71.12065321379497
27,42.34755664978571,-71.08786502468853
28,42.264257078991974,-71.2053052403233
29,42.40571506731643,-71.16394923355392
30,42.36242702395317,-71.05609841384191
31,42.41737767243978,-71.20485943247024
32,42.36770177234992,-71.06190612789301
33,42.286256784328444,-71.04272528002848
34,42.39417064175538,-71.08634413124055
35,42.33080448874572,-71.06153659477621
36,42.41079861874399,-71.18168948725007
37,42.32202630145437,-71.05387899721045
38,42.34619551646252,-71.06019029243936
39,42.40195411552361,-71.09562226031079
40,42.24471677228822,-71.2020510944237
41,42.22304207129984,-71.03005592813733
42,42.3478175057424,-71.06904272698507
43,42.35689002176973,-71.12668145379128
44,42.26518021880919,-71.04594438346945
45,42.34827074913048,-71.04615373975228
