,lat,lng,n_agg
656,42.3722,-70.9709,1
657,42.3724,-71.1219,1
658,42.3725,-71.1215,1
659,42.3725,-71.121,2
660,42.3725,-71.1162,1
661,42.3726,-71.1199,1
662,42.3726,-71.119,1
663,42.3726,-71.0352,1
664,42.3727,-71.0939,1
665,42.3728,-71.0914,2
666,42.3729,-71.119,2
667,42.3729,-71.1176,1
668,42.3729,-70.9715,1
669,42.373,-71.1179,1
670,42.3731,-71.1195,2
671,42.3731,-71.1003,1
672,42.3731,-71.0967,2
673,42.3731,-71.0954,1
674,42.3732,-71.0388,1
675,42.3735,-71.1205,1
676,42.3735,-71.0982,1
677,42.3736,-71.1215,1
678,42.3737,-71.1221,2
679,42.3737,-71.0988,1
680,42.3738,-71.1002,1
681,42.3739,-71.1008,1
682,42.374,-71.125,1
683,42.374,-71.0629,2
684,42.374,-71.0392,1
685,42.3741,-71.1191,1
686,42.3741,-71.1002,1
687,42.3742,-71.0631,2
688,42.3742,-70.9861,1
689,42.3743,-71.1219,1
690,42.3743,-71.1203,1
691,42.3745,-71.2096,1
692,42.3745,-71.12,1
693,42.3746,-71.1015,2
694,42.3746,-71.1014,1
695,42.3747,-70.9869,1
696,42.3749,-71.2379,1
697,42.3749,-71.1504,1
698,42.3752,-71.0547,1
699,42.3754,-71.0534,1
700,42.3755,-71.0346,1
701,42.3756,-71.1575,1
702,42.3757,-71.1563,1
703,42.3757,-70.9711,1
704,42.3758,-71.0371,1
705,42.3764,-71.2366,1
706,42.3765,-71.2514,1
707,42.3767,-71.0565,2
708,42.3769,-71.066,1
709,42.377,-71.1884,2
710,42.377,-71.1628,1
711,42.3771,-71.1884,1
712,42.3781,-71.1066,1
713,42.3781,-71.1063,2
714,42.3781,-71.0329,1
715,42.3782,-71.0289,1
716,42.3784,-71.1067,1
717,42.3785,-71.035,1
718,42.3787,-71.0282,1
719,42.379,-71.0399,1
720,42.3791,-71.0945,1
721,42.3796,-71.0274,2
722,42.3797,-71.0969,1
723,42.3797,-71.0949,1
724,42.3797,-71.0946,1
725,42.3797,-71.0945,1
726,42.3797,-71.0943,2
727,42.3798,-71.0946,2
728,42.3798,-71.0269,1
729,42.38,-71.0967,1
730,42.38,-71.0952,1
731,42.3803,-71.1814,1
732,42.3808,-71.0974,1
733,42.381,-71.0994,1
734,42.3813,-71.1385,1
735,42.3815,-71.0974,1
736,42.3817,-71.1052,1
737,42.3818,-71.1057,1
738,42.3821,-71.1195,2
739,42.3822,-71.0794,2
740,42.3823,-70.9934,1
741,42.3824,-71.1314,1
742,42.3824,-71.1198,1
743,42.3824,-71.1026,1
744,42.3825,-71.1201,1
745,42.3825,-71.0185,1
746,42.3826,-70.9937,1
747,42.3827,-71.1201,2
748,42.383,-71.1124,1
749,42.3835,-71.1336,1
750,42.3851,-71.1191,1
751,42.3857,-71.1157,1
752,42.3858,-70.9752,1
753,42.386,-70.9752,1
754,42.3861,-70.9756,1
755,42.3863,-71.0073,1
756,42.3864,-71.0796,1
757,42.3866,-71.0092,1
758,42.3868,-71.0817,2
759,42.3868,-71.0069,1
760,42.3869,-71.0068,1
761,42.387,-71.0072,1
762,42.3873,-71.1184,3
763,42.3874,-71.1187,1
764,42.3877,-71.0828,1
765,42.3878,-71.0842,1
766,42.3882,-71.1032,2
767,42.3882,-71.0955,1
768,42.3885,-71.1324,1
769,42.3889,-71.1197,1
770,42.3889,-71.086,1
771,42.389,-71.12,2
772,42.3893,-71.1435,1
773,42.3893,-71.0409,1
774,42.3894,-71.1198,1
775,42.3896,-71.12,1
776,42.3898,-71.1203,1
777,42.3902,-71.1328,1
778,42.3902,-71.1077,1
779,42.3903,-71.0388,1
780,42.3915,-71.1602,1
781,42.3917,-71.0923,1
782,42.3918,-71.1119,1
783,42.3919,-71.0926,1
784,42.3919,-71.0785,2
785,42.3926,-71.094,1
786,42.3927,-71.182,1
787,42.3932,-71.1202,1
788,42.3934,-71.1204,1
789,42.3937,-71.1411,1
790,42.3941,-71.0799,2
791,42.3943,-71.0794,2
792,42.3944,-71.1208,2
793,42.3946,-71.1211,2
794,42.3946,-71.0392,2
795,42.3948,-71.1268,1
796,42.3948,-71.1219,1
797,42.395,-71.1191,1
798,42.3951,-71.1215,1
799,42.3951,-71.1214,1
800,42.3952,-71.1576,1
801,42.3952,-71.1224,2
802,42.3952,-71.1193,1
803,42.3956,-71.1226,1
804,42.3956,-71.1218,1
805,42.3956,-71.1217,3
806,42.3957,-71.1219,1
807,42.3957,-71.1209,2
808,42.3957,-71.0791,1
809,42.3958,-71.1238,2
810,42.3958,-71.1218,1
811,42.3958,-71.081,1
812,42.3958,-71.08,2
813,42.3962,-71.1037,1
814,42.3965,-71.1295,1
815,42.3966,-71.1041,2
816,42.3967,-71.1296,1
817,42.3969,-71.13,1
818,42.3969,-71.1038,1
819,42.397,-71.1226,1
820,42.3974,-71.1757,1
821,42.3976,-71.0011,1
822,42.3976,-70.9922,1
823,42.3983,-71.131,1
824,42.3983,-71.1237,1
825,42.3986,-71.1751,1
826,42.3986,-71.1241,1
827,42.3986,-71.04,1
828,42.3989,-71.1242,2
829,42.3998,-71.1124,1
830,42.3999,-71.1125,1
831,42.4001,-71.1124,2
832,42.4001,-71.0697,1
833,42.4005,-71.1175,1
834,42.4008,-71.1177,1
835,42.4016,-71.1368,1
836,42.4016,-71.1266,1
837,42.4017,-71.0196,1
838,42.4023,-71.0439,1
839,42.4027,-71.1267,1
840,42.4028,-71.1267,1
841,42.4031,-71.1266,1
842,42.4033,-71.0229,1
843,42.4034,-71.1272,1
844,42.4034,-71.0807,1
845,42.4038,-71.0806,1
846,42.4039,-71.1145,1
847,42.4041,-71.1405,1
848,42.4048,-71.1413,1
849,42.4049,-71.1414,1
850,42.4052,-71.1082,1
851,42.4053,-71.0665,1
852,42.4054,-71.1078,1
853,42.4055,-71.1423,1
854,42.4057,-71.1308,1
855,42.406,-71.1422,1
856,42.4062,-71.062,1
857,42.4074,-71.1086,1
858,42.4079,-70.9954,1
859,42.408,-71.104,1
860,42.4085,-71.013,1
861,42.4097,-71.0012,2
862,42.4102,-71.0125,2
863,42.4107,-70.9946,1
864,42.4113,-71.1485,1
865,42.4121,-71.1445,1
866,42.4138,-71.0782,1
867,42.4146,-71.1505,1
868,42.4147,-71.1521,1
869,42.4149,-71.151,1
870,42.4151,-71.1517,1
871,42.4151,-71.1511,1
872,42.4155,-71.1518,2
873,42.4157,-71.0474,1
874,42.416,-71.1538,1
875,42.4161,-71.1544,1
876,42.4161,-71.1542,1
877,42.4162,-71.1553,1
878,42.4171,-71.1638,1
879,42.4173,-71.1639,1
880,42.4176,-71.1077,1
881,42.4177,-71.1649,1
882,42.4177,-71.1648,1
883,42.4177,-71.1314,1
884,42.4178,-71.1088,1
885,42.4181,-71.1085,1
886,42.4182,-71.1106,1
887,42.4182,-71.109,1
888,42.4184,-71.0067,1
889,42.4185,-71.1082,1
890,42.4186,-71.1103,1
891,42.4186,-70.999,2
892,42.4187,-71.1116,1
893,42.4187,-71.1091,1
894,42.4188,-71.107,1
895,42.419,-71.1578,1
896,42.4193,-71.08,2
897,42.4199,-71.0058,1
898,42.4206,-71.1706,1
899,42.4207,-71.0751,1
900,42.4211,-71.1321,1
901,42.4211,-71.1317,1
902,42.4214,-71.1324,1
903,42.4218,-71.1338,1
904,42.4219,-71.1724,2
905,42.422,-71.0949,1
906,42.422,-71.08,1
907,42.4232,-71.0095,1
908,42.4235,-70.9839,1
909,42.4236,-71.0769,1
910,42.4238,-71.0673,1
911,42.424,-71.0096,1
912,42.4244,-71.1819,1
913,42.4249,-71.0647,1
914,42.4253,-71.1908,1
915,42.4254,-71.1933,1
916,42.4254,-71.1931,1
917,42.4254,-71.0634,1
918,42.4259,-71.0673,1
919,42.4262,-71.0606,1
920,42.4264,-71.1966,1
921,42.4266,-71.0694,2
922,42.4268,-71.069,1
923,42.4268,-71.0685,1
924,42.4273,-71.0708,2
925,42.4276,-71.0736,2
926,42.4288,-71.0669,2
927,42.4289,-71.0742,1
928,42.4294,-71.0477,1
929,42.4309,-70.9793,2
930,42.441,-71.0683,1
931,42.4488,-71.2289,1
932,42.4556,-71.0653,1
933,42.4632,-70.9476,1
934,42.4642,-70.9494,1
935,42.5224,-70.8951,1
