,lat,lng
0,42.33982866834983,-71.10568060531216
1,42.349582562430186,-71.1479797468721
2,42.349651806069694,-71.0635155837915
3,42.362774402721556,-71.07030206927988
4,42.36308867417815,-71.06645059319797
5,42.363206385371996,-71.0687721041268
6,42.37389441036132,-71.13423773153694
7,42.374736409207436,-71.10432577080972
8,42.40932831657102,-71.0397496940688
9,42.425969438694416,-71.11149734929221
10,42.25153044762254,-71.07764517233355
11,42.27803865783282,-71.06605058890175
12,42.301443960051735,-71.12817461844914
13,42.329748665740716,-71.10673060416843
14,42.334722477231765,-71.0729576690406
15,42.33611515620599,-71.1074810738079
16,42.33686248613549,-71.07088203224163
17,42.33747447447724,-71.10488285587432
18,42.33760208973784,-71.10827977517799
19,42.337808666913794,-71.10908060603116
