,lat,lng
0,42.3468614240808,-71.05875035812313
1,42.34769451366905,-71.07884400064398
2,42.39763265197358,-71.14222991029379
3,42.35693674863372,-71.12046703468395
4,42.24258979656373,-71.02712101592525
5,42.36789054260304,-71.02548828428041
6,42.35616607823332,-71.18608503106745
7,42.275005100884755,-71.05020676706711
8,42.41526508514138,-71.19442049743088
9,42.33604436159599,-71.06510937386078
10,42.359826333187854,-71.05214979107394
11,42.40260723483394,-71.15654362819848
12,42.25496233758133,-71.03931127818396
13,42.299242167513995,-71.04776890409104
14,42.370554693732,-71.06516216507103
15,42.41420843987142,-71.10376213562931
16,42.38393796744568,-71.07646878141061
17,42.30174865685121,-71.04959764060169
18,42.35697933216743,-71.12065321379497
19,42.34755664978571,-71.08786502468853
20,42.40571506731643,-71.16394923355392
21,42.36242702395317,-71.05609841384191
22,42.36770177234992,-71.06190612789301
23,42.286256784328444,-71.04272528002848
24,42.39417064175538,-71.08634413124055
25,42.33080448874572,-71.06153659477621
26,42.41079861874399,-71.18168948725007
27,42.32202630145437,-71.05387899721045
28,42.34619551646252,-71.06019029243936
29,42.40195411552361,-71.09562226031079
30,42.3478175057424,-71.06904272698507
31,42.35689002176973,-71.12668145379128
32,42.26518021880919,-71.04594438346945
33,42.34827074913048,-71.04615373975228
