,lat,lng,day,minute,hour,loudness,city,n_agg
0,41.96817512999998,-71.70215912000002,4,28.066666666666666,0,56.280044444444464,boston,45
1,42.26284293811592,-71.02565265711291,5,48.0,5,27.171374999999998,boston,8
2,42.26283852999997,-71.02565808000004,5,56.46341463414634,5,27.0019756097561,boston,41
3,42.26283852999997,-71.02565808000006,5,21.43859649122807,6,23.892578947368417,boston,57
4,42.26283853,-71.02565808,5,23.0,6,21.0015,boston,2
5,42.26283852999996,-71.0256580799999,5,44.75,6,21.355695652173914,boston,92
6,42.26281219,-71.02563479000001,5,29.857142857142858,7,20.285714285714285,boston,7
7,42.262843780000004,-71.02564464,5,56.36363636363637,7,24.272727272727273,boston,11
8,42.2628072764685,-71.02563713383557,5,20.0,8,22.0989010989011,boston,91
9,42.26283339481609,-71.025650830955,5,30.291666666666668,8,24.1484375,boston,384
10,42.262818557580694,-71.02563976358854,5,45.17718446601942,8,24.490291262135923,boston,412
11,42.26280895000006,-71.02563301000008,5,55.972972972972975,8,26.35135135135135,boston,222
12,42.26280895000001,-71.02563301000008,5,2.0517241379310347,9,24.73447413793103,boston,116
13,42.26280895,-71.02563301,5,21.0,9,21.6,boston,5
14,42.26280895,-71.02563301,5,35.2,9,20.0,boston,5
15,42.26280895,-71.02563301,5,40.6,9,21.0,boston,5
16,42.26280895,-71.02563301,5,57.0,9,20.0,boston,1
17,42.26280895,-71.02563301,5,18.75,10,20.5,boston,4
18,42.26280895,-71.02563301,5,26.5,10,21.5,boston,2
19,42.26282743000001,-71.02567017,5,27.727272727272727,11,20.272727272727273,boston,11
20,42.26282743000001,-71.02567017,5,49.375,11,23.75,boston,8
21,42.26282743000001,-71.02567017,5,55.07142857142857,11,30.214285714285715,boston,14
22,42.26273838735882,-71.02572852412186,5,21.890625,12,25.546875,boston,64
23,42.26274413962108,-71.02572185475827,5,24.15702479338843,12,24.570892561983474,boston,121
24,42.26729321142857,-71.02113679142857,3,37.0,3,54.714285714285715,boston,7
25,42.26685009714307,-71.02069082411766,3,38.0,3,55.88235294117647,boston,17
26,42.268000850012484,-71.02194745696747,3,37.0,3,58.8,boston,10
27,42.26756867,-71.02143457,3,37.0,3,56.0,boston,1
28,42.26947381,-71.02351155,3,37.0,3,57.0,boston,1
29,42.26900618714286,-71.02303604,3,37.0,3,57.0,boston,7
30,42.270442505,-71.024563075,3,38.0,12,42.0,boston,2
31,42.270033563333335,-71.0240903,3,37.0,3,59.0,boston,6
32,42.2700010300471,-71.02412716575026,3,38.0,12,41.77777777777778,boston,9
33,42.27148124,-71.02566941,3,37.0,3,65.0,boston,1
34,42.2714195,-71.0255948,3,38.0,12,43.0,boston,1
35,42.27094056833333,-71.02506063666668,3,37.0,3,61.666666666666664,boston,6
36,42.270934804285716,-71.02509656142857,3,38.0,12,43.142857142857146,boston,7
37,42.272400450027504,-71.02669132994639,3,37.0,3,60.333333333333336,boston,3
38,42.272372680000004,-71.02663548999999,3,39.0,12,44.5,boston,2
39,42.27183940377245,-71.02605537116196,3,37.0,3,63.0,boston,5
40,42.271856665,-71.02605916499999,3,38.666666666666664,12,44.166666666666664,boston,6
41,42.273319709999996,-71.02763010999999,3,37.0,3,59.0,boston,2
42,42.273296173333335,-71.02766480666666,3,39.0,12,44.333333333333336,boston,3
43,42.27288030333333,-71.02719249333335,3,37.0,3,59.666666666666664,boston,3
44,42.2727918125,-71.0270947675,3,39.0,12,45.5,boston,4
45,42.274306143333334,-71.02868439999999,3,37.0,3,58.333333333333336,boston,3
46,42.274266426666664,-71.02865799666667,3,39.0,12,42.0,boston,3
47,42.273778113999995,-71.02812054399999,3,37.0,3,58.2,boston,5
48,42.273838688,-71.02821672600001,3,39.0,12,42.4,boston,5
49,42.27516112,-71.029771482,3,36.0,3,57.8,boston,5
50,42.2753521308667,-71.02963195429965,3,39.0,12,40.0,boston,7
51,42.274733675,-71.0292008125,3,36.0,3,58.0,boston,4
52,42.27479894801652,-71.02916139945123,3,39.0,12,43.9,boston,10
53,42.27615945111111,-71.03077751000001,3,35.0,3,56.333333333333336,boston,9
54,42.27580406957573,-71.03036134833359,3,36.0,3,56.90196078431372,boston,51
55,42.27611961365972,-71.03031451798188,3,40.642857142857146,12,41.330357142857146,boston,112
56,42.27723549857143,-71.03167102857142,3,35.0,3,55.142857142857146,boston,7
57,42.27742528333333,-71.03163357,3,42.0,12,40.333333333333336,boston,3
58,42.276728645714286,-71.03125070857142,3,35.0,3,60.57142857142857,boston,7
59,42.27695739,-71.03126530333333,3,42.0,12,42.166666666666664,boston,6
60,42.278085034610086,-71.03209915420395,3,35.0,3,56.166666666666664,boston,12
61,42.277973487000004,-71.032204499,3,42.0,12,41.9,boston,10
62,42.27927997,-71.03258939666667,3,35.0,3,62.333333333333336,boston,3
63,42.27928192716535,-71.03263152897858,3,42.833333333333336,12,43.166666666666664,boston,6
64,42.278795560000006,-71.03238577200001,3,35.0,3,61.0,boston,5
65,42.278761190000004,-71.03243632166668,3,42.0,12,44.166666666666664,boston,6
66,42.28002674857142,-71.03290183428571,3,35.0,3,58.42857142857143,boston,7
67,42.27998269,-71.03296141111112,3,43.0,12,42.22222222222222,boston,9
68,42.28133213333333,-71.03367304666666,3,35.0,3,57.333333333333336,boston,3
69,42.28111442,-71.033639275,3,43.0,12,45.75,boston,4
70,42.280883127500005,-71.0333505725,3,35.0,3,56.0,boston,4
71,42.280704744999994,-71.033394535,3,43.0,12,43.0,boston,2
72,42.2822218425,-71.034743575,3,34.0,3,56.5,boston,4
