,lat,lng,loudness,made_at,user
81,42.355044,-71.045757,65.0,2014-11-14 09:43:01,3877
82,42.355082,-71.045728,59.0,2014-11-14 09:42:58,3877
83,42.355106,-71.045743,58.0,2014-11-14 09:42:56,3877
84,42.35514,-71.045757,64.0,2014-11-14 09:42:53,3877
85,42.355159,-71.045718,67.0,2014-11-14 09:42:51,3877
86,42.355156,-71.045624,69.0,2014-11-14 09:42:48,3877
87,42.355122,-71.045494,71.0,2014-11-14 09:42:45,3877
88,42.355064,-71.045293,80.0,2014-11-14 09:42:41,3877
89,42.355043,-71.045138,74.0,2014-11-14 09:42:38,3877
90,42.35501,-71.044989,77.0,2014-11-14 09:42:35,3877
91,42.354979,-71.044847,76.0,2014-11-14 09:42:32,3877
92,42.354956,-71.044649,77.0,2014-11-14 09:42:29,3877
93,42.354933,-71.044493,78.0,2014-11-14 09:42:25,3877
94,42.354886,-71.044345,81.0,2014-11-14 09:42:22,3877
95,42.354861,-71.044253,87.0,2014-11-14 09:42:20,3877
96,42.354823,-71.044115,85.0,2014-11-14 09:42:18,3877
97,42.354805,-71.044022,83.0,2014-11-14 09:42:15,3877
98,42.354775,-71.043945,81.0,2014-11-14 09:42:13,3877
99,42.35475,-71.043831,74.0,2014-11-14 09:42:10,3877
100,42.35464,-71.043814,67.0,2014-11-14 09:42:06,3877
101,42.354491,-71.043928,76.0,2014-11-14 09:42:02,3877
102,42.3544,-71.043986,75.0,2014-11-14 09:42:00,3877
103,42.354314,-71.044021,82.0,2014-11-14 09:41:58,3877
104,42.354195,-71.044156,71.0,2014-11-14 09:41:55,3877
105,42.354095,-71.044265,76.0,2014-11-14 09:41:53,3877
106,42.354024,-71.04432,81.0,2014-11-14 09:41:51,3877
107,42.353952,-71.044375,60.0,2014-11-14 09:41:49,3877
108,42.35388,-71.044431,75.0,2014-11-14 09:41:47,3877
109,42.35374,-71.044557,77.0,2014-11-14 09:41:43,3877
110,42.353623,-71.04466,67.0,2014-11-14 09:41:40,3877
111,42.353546,-71.044703,60.0,2014-11-14 09:41:38,3877
112,42.353465,-71.044706,59.0,2014-11-14 09:41:36,3877
113,42.353379,-71.044581,70.0,2014-11-14 09:41:33,3877
114,42.353339,-71.044438,79.0,2014-11-14 09:41:30,3877
115,42.353349,-71.044356,65.0,2014-11-14 09:41:28,3877
116,42.353378,-71.044285,69.0,2014-11-14 09:41:24,3877
117,42.353343,-71.044259,59.0,2014-11-14 09:41:20,3877
118,42.353302,-71.044218,66.0,2014-11-14 09:41:17,3877
119,42.353273,-71.04416,58.0,2014-11-14 09:41:15,3877
120,42.35324,-71.044124,75.0,2014-11-14 09:41:13,3877
121,42.353181,-71.044052,70.0,2014-11-14 09:41:10,3877
122,42.353152,-71.044045,59.0,2014-11-14 09:41:08,3877
123,42.35312,-71.044071,57.0,2014-11-14 09:41:06,3877
124,42.353058,-71.0441,70.0,2014-11-14 09:41:03,3877
125,42.352926,-71.044213,78.0,2014-11-14 09:40:58,3877
126,42.352881,-71.044266,75.0,2014-11-14 09:40:56,3877
127,42.352807,-71.044315,79.0,2014-11-14 09:40:54,3877
128,42.352734,-71.044381,85.0,2014-11-14 09:40:52,3877
129,42.352625,-71.044473,68.0,2014-11-14 09:40:49,3877
130,42.352546,-71.044544,63.0,2014-11-14 09:40:47,3877
131,42.352449,-71.044553,66.0,2014-11-14 09:40:45,3877
132,42.352361,-71.044566,74.0,2014-11-14 09:40:42,3877
133,42.352262,-71.044476,67.0,2014-11-14 09:40:39,3877
134,42.352116,-71.044357,74.0,2014-11-14 09:40:36,3877
135,42.352074,-71.044336,90.0,2014-11-14 09:40:34,3877
136,42.351964,-71.044225,71.0,2014-11-14 09:40:32,3877
137,42.351816,-71.044142,76.0,2014-11-14 09:40:30,3877
138,42.351681,-71.043941,84.0,2014-11-14 09:40:27,3877
139,42.351599,-71.043867,83.0,2014-11-14 09:40:25,3877
140,42.351526,-71.043814,76.0,2014-11-14 09:40:23,3877
141,42.351475,-71.043779,76.0,2014-11-14 09:40:21,3877
142,42.351454,-71.043763,75.0,2014-11-14 09:40:17,3877
143,42.35152,-71.043868,73.0,2014-11-14 09:40:13,3877
144,42.351537,-71.043916,72.0,2014-11-14 09:40:11,3877
145,42.351558,-71.043943,71.0,2014-11-14 09:40:09,3877
146,42.351697,-71.044035,73.0,2014-11-14 09:40:07,3877
147,42.351897,-71.04412,70.0,2014-11-14 09:40:04,3877
148,42.352017,-71.044232,66.0,2014-11-14 09:40:00,3877
149,42.35212,-71.044331,65.0,2014-11-14 09:39:57,3877
150,42.352289,-71.044503,67.0,2014-11-14 09:39:53,3877
151,42.352344,-71.044647,65.0,2014-11-14 09:39:51,3877
152,42.352405,-71.044735,68.0,2014-11-14 09:39:49,3877
153,42.352429,-71.044783,68.0,2014-11-14 09:39:47,3877
154,42.352474,-71.044858,72.0,2014-11-14 09:39:46,3877
155,42.35252,-71.044925,72.0,2014-11-14 09:39:44,3877
156,42.352584,-71.044978,66.0,2014-11-14 09:39:42,3877
157,42.35267,-71.045106,65.0,2014-11-14 09:39:39,3877
158,42.352724,-71.045207,67.0,2014-11-14 09:39:37,3877
159,42.352839,-71.045422,73.0,2014-11-14 09:39:32,3877
160,42.352983,-71.045544,73.0,2014-11-14 09:39:29,3877
161,42.353012,-71.045564,76.0,2014-11-14 09:39:28,3877
162,42.353017,-71.045684,65.0,2014-11-14 09:39:26,3877
163,42.353045,-71.045843,67.0,2014-11-14 09:39:23,3877
164,42.353248,-71.046054,68.0,2014-11-14 09:39:19,3877
165,42.353328,-71.046246,70.0,2014-11-14 09:39:17,3877
166,42.353373,-71.046393,71.0,2014-11-14 09:39:14,3877
167,42.353456,-71.046615,66.0,2014-11-14 09:39:10,3877
168,42.353476,-71.046632,72.0,2014-11-14 09:39:06,3877
169,42.353443,-71.046551,69.0,2014-11-14 09:39:04,3877
170,42.35342,-71.046459,75.0,2014-11-14 09:39:01,3877
171,42.353393,-71.046377,66.0,2014-11-14 09:38:59,3877
172,42.353322,-71.046238,61.0,2014-11-14 09:38:56,3877
173,42.353169,-71.04601,63.0,2014-11-14 09:38:53,3877
174,42.35302,-71.045898,75.0,2014-11-14 09:38:49,3877
175,42.352931,-71.045841,81.0,2014-11-14 09:38:47,3877
176,42.352848,-71.045701,60.0,2014-11-14 09:38:44,3877
177,42.352792,-71.045556,59.0,2014-11-14 09:38:41,3877
178,42.352735,-71.04543,59.0,2014-11-14 09:38:38,3877
179,42.352719,-71.045337,59.0,2014-11-14 09:38:36,3877
180,42.35275,-71.045217,67.0,2014-11-14 09:38:33,3877
181,42.352818,-71.045093,67.0,2014-11-14 09:38:30,3877
182,42.352896,-71.044979,67.0,2014-11-14 09:38:27,3877
183,42.353034,-71.044898,69.0,2014-11-14 09:38:25,3877
184,42.353117,-71.044842,71.0,2014-11-14 09:38:22,3877
185,42.353243,-71.044753,76.0,2014-11-14 09:38:18,3877
186,42.35331,-71.044801,76.0,2014-11-14 09:38:16,3877
187,42.353404,-71.044913,75.0,2014-11-14 09:38:12,3877
188,42.353457,-71.045078,71.0,2014-11-14 09:38:09,3877
189,42.353516,-71.045238,70.0,2014-11-14 09:38:06,3877
190,42.353529,-71.04535,67.0,2014-11-14 09:38:04,3877
191,42.353501,-71.045505,68.0,2014-11-14 09:38:02,3877
192,42.353486,-71.045612,71.0,2014-11-14 09:37:59,3877
193,42.353452,-71.045697,68.0,2014-11-14 09:37:57,3877
194,42.353336,-71.045901,65.0,2014-11-14 09:37:54,3877
195,42.353278,-71.046204,62.0,2014-11-14 09:37:50,3877
196,42.353366,-71.046315,59.0,2014-11-14 09:37:48,3877
197,42.353417,-71.046371,59.0,2014-11-14 09:37:46,3877
198,42.353455,-71.046436,59.0,2014-11-14 09:37:43,3877
199,42.353528,-71.046526,69.0,2014-11-14 09:37:40,3877
200,42.35355,-71.046585,66.0,2014-11-14 09:37:38,3877
201,42.353532,-71.046616,71.0,2014-11-14 09:37:36,3877
202,42.353491,-71.046718,69.0,2014-11-14 09:37:30,3877
203,42.353441,-71.046751,63.0,2014-11-14 09:37:27,3877
204,42.353311,-71.046842,69.0,2014-11-14 09:37:24,3877
205,42.353208,-71.046856,72.0,2014-11-14 09:37:22,3877
206,42.353229,-71.046863,73.0,2014-11-14 09:37:20,3877
207,42.353283,-71.047001,74.0,2014-11-14 09:37:17,3877
208,42.353509,-71.047247,71.0,2014-11-14 09:37:14,3877
209,42.353574,-71.047344,73.0,2014-11-14 09:37:12,3877
210,42.35365,-71.047469,81.0,2014-11-14 09:37:09,3877
211,42.353674,-71.047776,77.0,2014-11-14 09:37:03,3877
212,42.353593,-71.047972,74.0,2014-11-14 09:36:59,3877
213,42.353573,-71.048069,77.0,2014-11-14 09:36:57,3877
214,42.353538,-71.048136,82.0,2014-11-14 09:36:55,3877
215,42.353487,-71.048166,73.0,2014-11-14 09:36:53,3877
216,42.353443,-71.048189,74.0,2014-11-14 09:36:51,3877
217,42.353375,-71.048241,74.0,2014-11-14 09:36:49,3877
218,42.353355,-71.048282,75.0,2014-11-14 09:36:46,3877
219,42.353322,-71.048334,70.0,2014-11-14 09:36:44,3877
220,42.353219,-71.048356,69.0,2014-11-14 09:36:39,3877
221,42.353116,-71.04817,72.0,2014-11-14 09:36:34,3877
222,42.353036,-71.047958,68.0,2014-11-14 09:36:31,3877
223,42.352985,-71.047814,73.0,2014-11-14 09:36:29,3877
224,42.352912,-71.047685,74.0,2014-11-14 09:36:26,3877
225,42.352861,-71.047481,72.0,2014-11-14 09:36:24,3877
226,42.352742,-71.047261,77.0,2014-11-14 09:36:20,3877
227,42.352653,-71.047076,87.0,2014-11-14 09:36:17,3877
228,42.3526,-71.046966,71.0,2014-11-14 09:36:14,3877
229,42.352496,-71.046812,73.0,2014-11-14 09:36:11,3877
230,42.352458,-71.046699,71.0,2014-11-14 09:36:09,3877
231,42.352413,-71.046583,74.0,2014-11-14 09:36:07,3877
232,42.352358,-71.046391,71.0,2014-11-14 09:36:04,3877
233,42.352244,-71.046258,73.0,2014-11-14 09:36:01,3877
234,42.352135,-71.046137,82.0,2014-11-14 09:35:58,3877
235,42.352063,-71.045964,74.0,2014-11-14 09:35:56,3877
236,42.352019,-71.045915,76.0,2014-11-14 09:35:54,3877
237,42.351927,-71.045758,82.0,2014-11-14 09:35:51,3877
238,42.351897,-71.045664,70.0,2014-11-14 09:35:49,3877
239,42.351844,-71.045544,71.0,2014-11-14 09:35:47,3877
240,42.351762,-71.045364,69.0,2014-11-14 09:35:44,3877
241,42.351729,-71.04523,63.0,2014-11-14 09:35:42,3877
242,42.351631,-71.044999,65.0,2014-11-14 09:35:38,3877
243,42.351596,-71.044844,66.0,2014-11-14 09:35:36,3877
244,42.351535,-71.044588,64.0,2014-11-14 09:35:34,3877
245,42.351488,-71.044471,64.0,2014-11-14 09:35:31,3877
246,42.351444,-71.044346,70.0,2014-11-14 09:35:29,3877
247,42.35134,-71.044138,72.0,2014-11-14 09:35:25,3877
248,42.351267,-71.044039,70.0,2014-11-14 09:35:22,3877
249,42.351215,-71.043978,75.0,2014-11-14 09:35:20,3877
250,42.351162,-71.043918,75.0,2014-11-14 09:35:18,3877
251,42.351096,-71.043837,76.0,2014-11-14 09:35:14,3877
252,42.351066,-71.043767,78.0,2014-11-14 09:35:10,3877
253,42.351066,-71.043767,86.0,2014-11-14 09:35:06,3877
254,42.351089,-71.043715,90.0,2014-11-14 09:35:03,3877
255,42.351089,-71.043715,78.0,2014-11-14 09:34:59,3877
256,42.351089,-71.043715,74.0,2014-11-14 09:34:57,3877
257,42.351089,-71.043715,71.0,2014-11-14 09:34:54,3877
258,42.351085,-71.043698,70.0,2014-11-14 09:34:51,3877
259,42.351074,-71.043669,70.0,2014-11-14 09:34:49,3877
260,42.351051,-71.043615,68.0,2014-11-14 09:34:47,3877
261,42.351014,-71.043564,67.0,2014-11-14 09:34:45,3877
262,42.350955,-71.043525,71.0,2014-11-14 09:34:43,3877
263,42.350896,-71.043482,67.0,2014-11-14 09:34:41,3877
264,42.350825,-71.04338,67.0,2014-11-14 09:34:38,3877
265,42.350771,-71.043287,65.0,2014-11-14 09:34:36,3877
266,42.350713,-71.043194,65.0,2014-11-14 09:34:34,3877
267,42.350636,-71.04307,78.0,2014-11-14 09:34:31,3877
268,42.350503,-71.042834,65.0,2014-11-14 09:34:26,3877
269,42.350424,-71.042724,65.0,2014-11-14 09:34:24,3877
270,42.350406,-71.042629,68.0,2014-11-14 09:34:22,3877
271,42.350314,-71.042303,59.0,2014-11-14 09:34:17,3877
272,42.350314,-71.042303,75.0,2014-11-14 09:34:17,3877
273,42.350244,-71.042086,76.0,2014-11-14 09:34:14,3877
274,42.350235,-71.04207,72.0,2014-11-14 09:34:12,3877
275,42.350134,-71.041879,73.0,2014-11-14 09:34:10,3877
276,42.350078,-71.041765,72.0,2014-11-14 09:34:08,3877
277,42.350053,-71.041706,128.0,2014-11-14 09:34:07,3877
278,42.349998,-71.041512,62.0,2014-11-14 09:34:04,3877
279,42.349982,-71.041457,73.0,2014-11-14 09:34:03,3877
280,42.34995,-71.041359,72.0,2014-11-14 09:34:01,3877
281,42.349907,-71.041274,75.0,2014-11-14 09:33:59,3877
282,42.349802,-71.041113,77.0,2014-11-14 09:33:56,3877
283,42.349741,-71.041017,87.0,2014-11-14 09:33:54,3877
284,42.349692,-71.040938,79.0,2014-11-14 09:33:52,3877
285,42.349613,-71.040791,78.0,2014-11-14 09:33:48,3877
286,42.349602,-71.04075,79.0,2014-11-14 09:33:47,3877
287,42.349593,-71.040726,77.0,2014-11-14 09:33:46,3877
288,42.349555,-71.040637,73.0,2014-11-14 09:33:44,3877
289,42.34952,-71.040517,71.0,2014-11-14 09:33:42,3877
290,42.349482,-71.040414,71.0,2014-11-14 09:33:40,3877
291,42.349352,-71.039998,72.0,2014-11-14 09:33:35,3877
292,42.34925,-71.039824,71.0,2014-11-14 09:33:31,3877
293,42.34919,-71.039727,65.0,2014-11-14 09:33:29,3877
294,42.349143,-71.039621,75.0,2014-11-14 09:33:27,3877
295,42.349047,-71.039459,74.0,2014-11-14 09:33:25,3877
296,42.349004,-71.039378,77.0,2014-11-14 09:33:22,3877
297,42.34897,-71.039282,70.0,2014-11-14 09:33:19,3877
298,42.348898,-71.039194,70.0,2014-11-14 09:33:16,3877
299,42.348804,-71.039165,63.0,2014-11-14 09:33:13,3877
300,42.348765,-71.039154,68.0,2014-11-14 09:33:11,3877
301,42.348746,-71.039153,67.0,2014-11-14 09:33:09,3877
302,42.348735,-71.039148,66.0,2014-11-14 09:33:07,3877
303,42.348743,-71.039135,66.0,2014-11-14 09:33:05,3877
304,42.348731,-71.039115,64.0,2014-11-14 09:33:04,3877
305,42.348712,-71.039085,74.0,2014-11-14 09:33:01,3877
306,42.348673,-71.039085,67.0,2014-11-14 09:32:59,3877
307,42.348644,-71.039082,77.0,2014-11-14 09:32:57,3877
308,42.348558,-71.03919,71.0,2014-11-14 09:32:54,3877
309,42.348359,-71.039346,73.0,2014-11-14 09:32:51,3877
310,42.348173,-71.039623,81.0,2014-11-14 09:32:47,3877
311,42.348064,-71.039932,79.0,2014-11-14 09:32:45,3877
312,42.348007,-71.040059,79.0,2014-11-14 09:32:43,3877
313,42.347978,-71.040184,78.0,2014-11-14 09:32:41,3877
314,42.347979,-71.040209,78.0,2014-11-14 09:32:39,3877
315,42.347963,-71.040362,76.0,2014-11-14 09:32:34,3877
316,42.347963,-71.040362,76.0,2014-11-14 09:32:34,3877
317,42.34802,-71.040494,71.0,2014-11-14 09:32:31,3877
318,42.348165,-71.040726,73.0,2014-11-14 09:32:28,3877
319,42.348162,-71.040861,71.0,2014-11-14 09:32:26,3877
320,42.348162,-71.040987,68.0,2014-11-14 09:32:24,3877
321,42.348261,-71.04116,73.0,2014-11-14 09:32:21,3877
322,42.348366,-71.041257,73.0,2014-11-14 09:32:19,3877
323,42.348423,-71.041388,70.0,2014-11-14 09:32:17,3877
324,42.348443,-71.041439,79.0,2014-11-14 09:32:16,3877
325,42.348517,-71.041604,84.0,2014-11-14 09:32:13,3877
326,42.348631,-71.041781,81.0,2014-11-14 09:32:11,3877
327,42.348691,-71.04187,74.0,2014-11-14 09:32:09,3877
328,42.348787,-71.041998,72.0,2014-11-14 09:32:06,3877
329,42.348855,-71.042127,68.0,2014-11-14 09:32:03,3877
330,42.34889,-71.042323,78.0,2014-11-14 09:32:00,3877
331,42.348892,-71.042437,86.0,2014-11-14 09:31:58,3877
332,42.34892,-71.042554,78.0,2014-11-14 09:31:55,3877
333,42.349039,-71.042717,82.0,2014-11-14 09:31:52,3877
334,42.349094,-71.042856,74.0,2014-11-14 09:31:50,3877
335,42.349221,-71.043075,65.0,2014-11-14 09:31:47,3877
336,42.34931,-71.043198,64.0,2014-11-14 09:31:45,3877
337,42.349421,-71.043357,68.0,2014-11-14 09:31:42,3877
338,42.34943,-71.043504,70.0,2014-11-14 09:31:39,3877
339,42.349425,-71.043591,66.0,2014-11-14 09:31:37,3877
340,42.349403,-71.043752,66.0,2014-11-14 09:31:35,3877
341,42.349365,-71.043809,66.0,2014-11-14 09:31:33,3877
342,42.349309,-71.043923,68.0,2014-11-14 09:31:30,3877
343,42.349284,-71.044079,64.0,2014-11-14 09:31:27,3877
344,42.349284,-71.044256,66.0,2014-11-14 09:31:25,3877
345,42.349235,-71.044462,63.0,2014-11-14 09:31:22,3877
346,42.349209,-71.044676,62.0,2014-11-14 09:31:19,3877
347,42.349191,-71.044805,63.0,2014-11-14 09:31:17,3877
348,42.349162,-71.045016,69.0,2014-11-14 09:31:14,3877
349,42.349136,-71.045169,70.0,2014-11-14 09:31:12,3877
350,42.349125,-71.045337,70.0,2014-11-14 09:31:09,3877
351,42.349119,-71.045438,69.0,2014-11-14 09:31:07,3877
352,42.34912,-71.045531,71.0,2014-11-14 09:31:05,3877
353,42.349125,-71.045609,72.0,2014-11-14 09:31:03,3877
354,42.349136,-71.045641,73.0,2014-11-14 09:31:01,3877
355,42.349136,-71.045641,68.0,2014-11-14 09:30:59,3877
356,42.349136,-71.045641,63.0,2014-11-14 09:30:56,3877
357,42.349136,-71.045641,64.0,2014-11-14 09:30:53,3877
358,42.349136,-71.045641,66.0,2014-11-14 09:30:52,3877
359,42.349136,-71.045641,69.0,2014-11-14 09:30:49,3877
360,42.349136,-71.045641,72.0,2014-11-14 09:30:48,3877
361,42.349136,-71.045641,68.0,2014-11-14 09:30:46,3877
362,42.349136,-71.045641,71.0,2014-11-14 09:30:43,3877
363,42.34914,-71.045639,74.0,2014-11-14 09:30:41,3877
364,42.34914,-71.045639,78.0,2014-11-14 09:30:39,3877
365,42.34914,-71.045639,83.0,2014-11-14 09:30:37,3877
366,42.34914,-71.045639,77.0,2014-11-14 09:30:35,3877
367,42.34914,-71.045639,74.0,2014-11-14 09:30:33,3877
368,42.34914,-71.045639,78.0,2014-11-14 09:30:30,3877
369,42.34914,-71.045639,71.0,2014-11-14 09:30:27,3877
370,42.34914,-71.045639,126.0,2014-11-14 09:30:24,3877
371,42.349179,-71.045608,64.0,2014-11-14 09:30:19,3877
372,42.349179,-71.045608,59.0,2014-11-14 09:30:19,3877
373,42.349179,-71.045608,63.0,2014-11-14 09:30:16,3877
374,42.349179,-71.045608,62.0,2014-11-14 09:30:14,3877
375,42.349179,-71.045608,64.0,2014-11-14 09:30:12,3877
376,42.349181,-71.045607,127.0,2014-11-14 09:30:10,3877
377,42.349174,-71.045612,68.0,2014-11-14 09:30:07,3877
378,42.349174,-71.045612,60.0,2014-11-14 09:30:07,3877
379,42.349166,-71.04562,66.0,2014-11-14 09:30:05,3877
380,42.349152,-71.045637,63.0,2014-11-14 09:30:03,3877
381,42.349159,-71.045673,64.0,2014-11-14 09:30:00,3877
382,42.349179,-71.045766,65.0,2014-11-14 09:29:57,3877
383,42.349147,-71.045873,64.0,2014-11-14 09:29:55,3877
384,42.349154,-71.046057,65.0,2014-11-14 09:29:52,3877
385,42.349165,-71.046137,65.0,2014-11-14 09:29:51,3877
386,42.349207,-71.046306,69.0,2014-11-14 09:29:49,3877
387,42.349219,-71.046417,70.0,2014-11-14 09:29:47,3877
388,42.349248,-71.046537,70.0,2014-11-14 09:29:45,3877
389,42.349262,-71.046679,66.0,2014-11-14 09:29:43,3877
390,42.349297,-71.046841,124.0,2014-11-14 09:29:41,3877
391,42.349416,-71.047077,60.0,2014-11-14 09:29:38,3877
392,42.349416,-71.047077,67.0,2014-11-14 09:29:37,3877
393,42.349469,-71.047211,68.0,2014-11-14 09:29:35,3877
394,42.349497,-71.047324,69.0,2014-11-14 09:29:33,3877
395,42.349644,-71.047444,75.0,2014-11-14 09:29:30,3877
396,42.349712,-71.047493,74.0,2014-11-14 09:29:29,3877
397,42.349827,-71.047639,70.0,2014-11-14 09:29:26,3877
398,42.349923,-71.047765,72.0,2014-11-14 09:29:24,3877
399,42.350011,-71.047842,83.0,2014-11-14 09:29:22,3877
400,42.350098,-71.047943,77.0,2014-11-14 09:29:20,3877
401,42.350185,-71.048076,79.0,2014-11-14 09:29:18,3877
402,42.350257,-71.048203,84.0,2014-11-14 09:29:16,3877
403,42.350347,-71.048288,79.0,2014-11-14 09:29:14,3877
404,42.350411,-71.04844,78.0,2014-11-14 09:29:13,3877
405,42.350492,-71.048601,71.0,2014-11-14 09:29:10,3877
406,42.350591,-71.048818,74.0,2014-11-14 09:29:08,3877
407,42.350621,-71.048876,73.0,2014-11-14 09:29:07,3877
408,42.350684,-71.048969,68.0,2014-11-14 09:29:05,3877
409,42.350746,-71.04903,74.0,2014-11-14 09:29:03,3877
410,42.350799,-71.049086,73.0,2014-11-14 09:29:01,3877
411,42.350849,-71.049149,69.0,2014-11-14 09:28:59,3877
412,42.350895,-71.04923,75.0,2014-11-14 09:28:57,3877
413,42.350949,-71.049356,74.0,2014-11-14 09:28:54,3877
414,42.350963,-71.049398,60.0,2014-11-14 09:28:53,3877
415,42.350995,-71.049478,62.0,2014-11-14 09:28:51,3877
416,42.351052,-71.04957,61.0,2014-11-14 09:28:48,3877
417,42.351101,-71.049623,63.0,2014-11-14 09:28:46,3877
418,42.351148,-71.049685,62.0,2014-11-14 09:28:44,3877
419,42.351191,-71.049721,60.0,2014-11-14 09:28:42,3877
