,lat,lng,day,minute,hour,loudness,city,n_agg
256,42.34872727272725,-71.09762424242427,5,12.787878787878787,23,52.78787878787879,boston,33
257,42.348842857142856,-71.09702857142857,5,29.0,19,55.14285714285714,boston,7
258,42.34900967741936,-71.0970064516129,5,11.870967741935484,23,51.612903225806456,boston,31
259,42.34903448275863,-71.09600000000002,5,28.931034482758623,19,53.10344827586207,boston,29
260,42.349113953488384,-71.09608372093022,5,10.69767441860465,23,51.27906976744186,boston,43
261,42.3488,-71.09514499999997,5,28.0,19,52.15,boston,20
262,42.349235714285726,-71.09500357142859,5,9.714285714285714,23,50.89285714285714,boston,28
263,42.348758333333336,-71.09400833333336,5,27.33333333333333,19,54.02777777777778,boston,36
264,42.349200000000025,-71.09401562500003,5,8.8125,23,51.25,boston,32
265,42.34888333333333,-71.09293333333333,5,27.0,19,54.33333333333334,boston,6
266,42.3492923076923,-71.09263846153846,5,7.0,23,62.846153846153854,boston,13
267,42.349207142857146,-71.09298571428569,5,8.0,23,57.07142857142857,boston,28
268,42.34881818181817,-71.09243636363638,5,26.363636363636363,19,58.09090909090909,boston,11
269,42.34914285714286,-71.09201746031749,5,6.158730158730159,23,62.07936507936508,boston,63
270,42.348821739130415,-71.09105217391303,5,5.0,23,54.34782608695652,boston,23
271,42.3486375,-71.08867500000002,5,42.0,20,51.25,boston,8
272,42.34899615384615,-71.08793846153846,5,42.07692307692308,20,52.846153846153854,boston,26
273,42.349309090909095,-71.08724545454547,5,43.0,20,52.0,boston,11
274,42.34937142857143,-71.0859,5,44.0,20,52.714285714285715,boston,7
275,42.348664285714285,-71.08519999999999,5,45.64285714285714,20,51.714285714285715,boston,14
276,42.3494815,-71.046581,4,17.0,9,62.5,cambridge,2
277,42.349396500000005,-71.0468875,4,27.5,9,71.6,cambridge,10
278,42.34939027272728,-71.04599118181817,4,17.0,9,61.09090909090909,cambridge,11
279,42.349174627906976,-71.0457623488372,4,28.790697674418613,9,71.06976744186046,cambridge,43
280,42.34938212500001,-71.04529525,4,17.0,9,69.0,cambridge,8
281,42.34925046666667,-71.04501473333332,4,26.2,9,73.93333333333334,cambridge,15
282,42.349374333333344,-71.04402333333334,4,28.33333333333333,9,70.33333333333333,cambridge,12
283,42.34930755882353,-71.0431272647059,4,20.41176470588235,9,67.5,cambridge,34
284,42.349261222222225,-71.04308,4,28.33333333333333,9,74.1111111111111,cambridge,9
285,42.348860230769226,-71.04196526923077,4,20.153846153846157,9,72.26923076923076,cambridge,26
286,42.348751857142865,-71.04202000000002,4,31.857142857142854,9,77.57142857142857,cambridge,7
287,42.34904461538461,-71.04095261538461,4,20.0,9,64.84615384615384,cambridge,13
288,42.348925791666666,-71.04011904166667,4,21.0,9,68.625,cambridge,24
289,42.3492834,-71.03991679999999,4,33.0,9,70.8,cambridge,5
290,42.34878785714285,-71.0391875,4,32.785714285714285,9,69.57142857142857,cambridge,14
291,42.349575,-71.08675000000002,5,43.0,20,54.33333333333334,boston,12
292,42.349732142857135,-71.08612142857143,5,43.92857142857143,20,53.89285714285714,boston,28
293,42.350471500000005,-71.04856550000001,4,27.5,9,99.0,cambridge,2
294,42.35017604166667,-71.04790249999998,4,26.0,9,77.54166666666667,cambridge,24
295,42.34985224999999,-71.0468528125,4,16.25,9,63.0625,cambridge,16
296,42.349800099999996,-71.0472786,4,25.0,9,79.6,cambridge,10
297,42.3498428888889,-71.04480944444444,4,17.444444444444443,9,71.1111111111111,cambridge,9
298,42.350384999999996,-71.04434760000002,4,18.0,9,68.4,cambridge,5
299,42.349535499999995,-71.04373249999999,4,23.0,9,80.5,cambridge,2
300,42.349966,-71.04325244444446,4,18.444444444444443,9,66.55555555555556,cambridge,9
301,42.3499084,-71.04312579999998,4,27.4,9,72.8,cambridge,5
302,42.35017125,-71.041953,4,34.0,9,77.125,cambridge,8
303,42.34959283333335,-71.04063433333333,4,20.166666666666668,9,65.16666666666667,cambridge,6
304,42.349723363636365,-71.04096172727272,4,33.18181818181818,9,76.45454545454545,cambridge,11
305,42.351254444444436,-71.04971622222223,4,28.0,9,62.555555555555564,cambridge,9
306,42.35086392,-71.04897816,4,27.0,9,71.12,cambridge,25
307,42.3506925,-71.04778466666667,4,25.0,9,79.66666666666667,cambridge,6
308,42.3508036,-71.0470042,4,24.0,9,71.2,cambridge,5
309,42.35095435714286,-71.04612657142857,4,16.0,9,72.28571428571429,cambridge,14
310,42.350736,-71.043873875,4,18.0,9,70.125,cambridge,8
311,42.35114883333333,-71.04384399999999,4,34.55555555555556,9,73.6111111111111,cambridge,18
312,42.3514645,-71.04377099999998,4,40.0,9,75.5,cambridge,2
313,42.3506685,-71.043265125,4,18.0,9,67.25,cambridge,8
314,42.35072400000001,-71.04320783333334,4,34.0,9,67.83333333333333,cambridge,6
315,42.35162775000001,-71.049666,4,28.0,9,95.5,cambridge,4
316,42.35211430769231,-71.04911484615384,4,27.84615384615385,9,71.84615384615384,cambridge,13
317,42.35199147058824,-71.0480266470588,4,26.64705882352941,9,80.0,cambridge,17
318,42.352313,-71.046695,4,15.0,9,65.0,cambridge,5
319,42.35245566666666,-71.04669799999999,4,36.0,9,72.66666666666667,cambridge,3
320,42.35188881818181,-71.04599763636364,4,15.363636363636365,9,67.27272727272727,cambridge,11
321,42.35206087499999,-71.045953875,4,35.25,9,74.875,cambridge,8
322,42.351650600000006,-71.04500500000002,4,35.0,9,65.4,cambridge,5
323,42.352393000000006,-71.04466357142857,4,39.285714285714285,9,68.57142857142857,cambridge,7
324,42.3518256,-71.04410686666667,4,39.93333333333333,9,74.06666666666666,cambridge,15
325,42.35266887499999,-71.048635125,4,27.0,9,69.0,cambridge,8
326,42.353028374999994,-71.04813975,4,32.625,9,71.375,cambridge,16
327,42.35287225,-71.04713225,4,14.5,9,62.75,cambridge,4
328,42.3530819,-71.0469815,4,36.6,9,72.7,cambridge,10
329,42.35345833333333,-71.04659933333333,4,39.0,9,69.0,cambridge,3
330,42.35339857142857,-71.04607657142857,4,37.0,9,63.28571428571429,cambridge,7
331,42.35312673333333,-71.04596053333333,4,38.53333333333333,9,68.66666666666667,cambridge,15
332,42.3533885,-71.0447425,4,4.0,9,62.5,cambridge,2
333,42.35295842105264,-71.04499,4,38.68421052631579,9,68.0,cambridge,19
334,42.35310675,-71.04423474999999,4,40.6875,9,69.5,cambridge,16
