,airport_min_dist,bus_line_min_dist,bus_st_count_100,bus_st_count_1000,bus_st_count_150,bus_st_count_200,bus_st_count_25,bus_st_count_250,bus_st_count_300,bus_st_count_50,bus_st_count_500,bus_st_min_dist,fire_count_100,fire_count_1000,fire_count_150,fire_count_200,fire_count_25,fire_count_250,fire_count_300,fire_count_50,fire_count_500,fire_min_dist,fw_exit_count_100,fw_exit_count_1000,fw_exit_count_150,fw_exit_count_200,fw_exit_count_25,fw_exit_count_250,fw_exit_count_300,fw_exit_count_50,fw_exit_count_500,fw_exit_min_dist,hosp_count_100,hosp_count_1000,hosp_count_150,hosp_count_200,hosp_count_25,hosp_count_250,hosp_count_300,hosp_count_50,hosp_count_500,hosp_min_dist,lat,lm_acc_hwy_min_dist,lng,maj_rd_min_dist,min_rd_min_dist,mul_ln_hwy_min_dist,num_rt_hwy_min_dist,parkname,pol_count_100,pol_count_1000,pol_count_150,pol_count_200,pol_count_25,pol_count_250,pol_count_300,pol_count_50,pol_count_500,pol_min_dist,rests_bars_count_100,rests_bars_count_1000,rests_bars_count_150,rests_bars_count_200,rests_bars_count_25,rests_bars_count_250,rests_bars_count_300,rests_bars_count_50,rests_bars_count_500,rests_bars_min_dist,sbwy_line_min_dist,sbwy_st_count_100,sbwy_st_count_1000,sbwy_st_count_150,sbwy_st_count_200,sbwy_st_count_25,sbwy_st_count_250,sbwy_st_count_300,sbwy_st_count_50,sbwy_st_count_500,sbwy_st_min_dist,train_line_min_dist,train_st_count_100,train_st_count_1000,train_st_count_150,train_st_count_200,train_st_count_25,train_st_count_250,train_st_count_300,train_st_count_50,train_st_count_500,train_st_min_dist
87,12737.13866,364.0160548,0,0,0,0,0,0,0,0,0,5721.578348,0,0,0,0,0,0,0,0,0,6398.327908,0,0,0,0,0,0,0,0,0,11543.90497,0,0,0,0,0,0,0,0,0,8686.979387,42.47674473,5916.860231,-70.98623872,5336.83571,5407.056272,5318.016202,5904.245623,Lynn Woods Reservation,0,0,0,0,0,0,0,0,0,6930.811383,0,0,0,0,0,0,0,0,0,3334.650462,7046.887221,0,0,0,0,0,0,0,0,0,7046.88735,5303.743883,0,0,0,0,0,0,0,0,0,9136.386288
88,8941.035094,437.5749942,0,34,0,0,0,0,0,0,2,428.3327973,0,1,0,0,0,0,0,0,0,802.2005081,0,0,0,0,0,0,0,0,0,1384.62908,0,3,0,0,0,0,0,0,0,882.0653404,42.34598471,490.3739268,-71.11244202,135.4959728,90.08084801,510.261636,424.8641979,Hall's Pond Sanctuary,0,0,0,0,0,0,0,0,0,1545.005649,0,18,0,0,0,0,0,0,3,384.1032429,155.6864847,0,12,0,1,0,1,2,0,4,162.8316239,477.5741053,0,0,0,0,0,0,0,0,0,1002.247589
89,3882.087557,64.33329869,0,58,4,4,0,5,7,0,21,137.9267883,1,3,1,1,0,1,1,0,2,55.41159882,0,3,0,0,0,0,0,0,1,454.7083042,0,0,0,0,0,0,0,0,0,1133.980967,42.3557396,73.66736289,-71.0524673,64.33237999,19.75492187,702.8872275,87.84873251,Rose Fitzgerald Kennedy Greenway Conservancy,0,2,0,0,0,0,0,0,0,907.6542144,0,93,1,3,0,4,6,0,19,146.1621782,245.2794169,0,14,0,0,0,0,0,0,3,414.5036392,499.8561846,0,9,0,0,0,0,0,0,1,499.6594227
90,4122.138859,28.95154303,0,58,5,6,0,8,11,0,24,100.1173246,0,3,0,0,0,1,2,0,3,221.6165258,0,4,0,0,0,0,0,0,0,742.5405386,0,1,0,0,0,0,0,0,0,837.626637,42.35341628,2.86212512,-71.0547068,21.24476529,88.56431113,922.1175432,13.10041433,Dewey Square Park,0,1,0,0,0,0,0,0,0,912.108437,0,63,1,2,0,2,3,0,8,132.7113734,39.64211647,1,17,2,2,0,3,3,0,3,99.14731652,205.5512309,0,9,0,0,0,9,9,0,9,205.3395282
91,4539.991406,28.07658643,0,64,1,3,0,3,7,0,18,106.3035811,0,3,0,0,0,0,1,0,1,277.4884885,0,3,0,0,0,0,0,0,0,541.6275411,0,1,0,0,0,0,0,0,1,414.072566,42.35171825,12.96015172,-71.05933294,28.07688827,4.351978418,675.8473308,62.01100664,Chinatown Park - Rose Kennedy Greenway,0,1,0,0,0,0,0,0,0,884.51225,1,58,5,6,0,9,10,0,13,75.44131842,20.83676168,0,20,0,0,0,0,3,0,11,264.9036003,302.0127159,0,9,0,0,0,0,0,0,9,312.7724238
92,5927.123862,24.26881073,1,48,4,4,0,5,6,0,14,89.83839083,0,2,0,0,0,0,0,0,1,455.3124316,0,2,0,0,0,0,0,0,1,350.6840513,0,0,0,0,0,0,0,0,0,1046.918675,42.35016987,251.3161925,-71.07620242,24.26855415,67.70558424,215.0781918,67.70558424,Copley Square Fountain,0,0,0,0,0,0,0,0,0,1321.792616,1,72,3,6,0,9,13,0,31,58.88702179,22.20380004,0,6,1,1,0,1,1,0,3,148.9660347,283.9343419,0,4,0,0,0,0,2,0,4,292.1081167
93,26136.1849,27.99532705,0,0,0,0,0,0,0,0,0,8596.234422,0,0,0,0,0,0,0,0,0,11151.00855,0,0,0,0,0,0,0,0,0,9666.149143,0,0,0,0,0,0,0,0,0,15172.10941,42.485942,9375.763821,-71.277214,8615.385806,8501.955241,12565.03902,8573.441543,Minuteman Bikeway,0,0,0,0,0,0,0,0,0,12671.59265,0,0,0,0,0,0,0,0,0,5728.04704,14938.93545,0,0,0,0,0,0,0,0,0,14938.93545,12773.48767,0,0,0,0,0,0,0,0,0,13014.23124
94,8123.99127,98.0891877,0,49,0,1,0,1,2,0,6,173.5836591,0,2,0,0,0,0,0,0,0,820.5817042,0,0,0,0,0,0,0,0,0,1309.655193,0,0,0,0,0,0,0,0,0,1839.501172,42.356369,560.427035,-71.104589,29.82556903,2.403687415,365.598727,301.9304447,Fort Washington,0,0,0,0,0,0,0,0,0,1953.89893,0,21,0,0,0,0,0,0,0,835.3448738,728.3511606,0,4,0,0,0,0,0,0,0,731.2855929,42.74737883,0,0,0,0,0,0,0,0,0,1026.353181
95,10461.06588,250.9091879,0,37,0,0,0,0,3,0,6,288.703254,0,3,0,0,0,0,0,0,0,794.1544254,0,0,0,0,0,0,0,0,0,1245.594011,0,0,0,0,0,0,0,0,0,1423.231059,42.346216,1124.937101,-71.131314,242.7138146,34.22237202,364.7605221,887.1878408,Coolidge Park,0,0,0,0,0,0,0,0,0,1622.206318,0,59,0,0,0,0,2,0,12,264.8400525,390.3834585,0,11,0,0,0,0,0,0,2,383.1722319,1077.97333,0,0,0,0,0,0,0,0,0,1129.225269
96,10948.97637,292.7867434,0,49,0,0,0,0,1,0,12,297.0692005,0,1,0,0,0,0,0,0,1,404.869285,0,0,0,0,0,0,0,0,0,1189.521834,0,1,0,0,0,0,0,0,0,811.939475,42.35042512,752.6526023,-71.13819122,287.4417342,93.85118987,180.9214923,360.462216,Ringer Park,0,0,0,0,0,0,0,0,0,1028.434801,0,41,0,0,0,1,4,0,14,234.6139853,173.1507484,0,5,0,0,0,1,2,0,3,210.4090177,705.1300753,0,2,0,0,0,0,0,0,0,750.7729985
