,name,lat,lng
108,Chiara,42.2289757,-71.221426
109,Byblos Restaurant,42.193552392755,-71.2011909484863
110,Ciao! Pizza & Pasta,42.3892518,-71.0409076
111,Alma Nove,42.2523753477126,-70.9220655643819
112,Bravo Pizzeria,42.2472694515847,-70.9798498124302
113,Coop's Bar & Grille,42.2475812,-70.9800441
114,The Fours,42.24866,-71.00114
115,16C,42.2483475,-71.0015457
116,Idle Hour,42.24877,-71.00178
117,Len Sennn Noodle Design,42.2473590719452,-71.0009667005762
118,Italian Cafe Gelato,42.24959,-71.001435
119,Schoolhouse Pizza,42.244028918113,-71.00350947623
120,Tony's Clam Shop,42.27529,-71.00598
121,Fairy Cafe,42.2659032,-71.0213049
122,Shaking Crab - Quincy,42.24887,-71.00142
123,Soup House,42.2426168310336,-71.0164234784803
124,B Cafe,42.273435,-71.0256132
125,Burke's Seafood,42.27398,-71.024434
126,Abby Park,42.2582666894027,-71.0403686531032
127,Steel & Rye,42.2698212,-71.0725174
128,Highland Kitchen,42.38818,-71.10324
129,Sarma,42.3881803,-71.0955453
130,Antonio's Bacaro,42.25554,-71.12111
131,ZAZ,42.2558259061801,-71.1228439236887
132,Viva Mi Arepa,42.26144,-71.15729
133,Greek International Food Market,42.260744,-71.157111
134,Los Antojitos Restaurant,42.25927122043,-71.1593503251405
135,Vincenzo's Deli & Catering,42.24681,-71.17351
136,Pancho's Taqueria,42.2481064963827,-71.1719943819083
137,Eggs & Thai Café,42.2485172,-71.1751548
138,Cafe Fresh Bagel,42.2480516900406,-71.173409672414
139,The Fox & Hound Wood Grill & Tavern,42.2595947352645,-70.9949054868325
140,Grumpy White's,42.26129,-70.99208
141,Gunther Tooties,42.2518917918205,-71.0040029883385
142,Fuji Restaurant,42.2673128,-71.0152145
143,Pad Thai,42.2674628,-71.0160071
144,The Wheelhouse Diner,42.27217,-71.0240199
145,Pho Linh,42.2729489,-71.0256069
146,Dairy Freeze,42.25573166396,-71.031232189572
147,Winsor Dim Sum House & Bar,42.2670276671335,-71.0149980336428
148,Ichiro Sushi,42.258457087888,-71.040806395203
149,Novara Restaurant,42.2583465576172,-71.0397644042969
150,Dave's Fresh Pasta,42.3986446720656,-71.1241095133413
151,Ball Square Cafe & Breakfast,42.399891741015,-71.112466164631
152,Yellow Door Taqueria,42.27235,-71.06824
153,Bred,42.27339,-71.06799
154,Fairmount Grille,42.2545537,-71.1202539
155,Ten Tables,42.314933658972,-71.114245396185
156,Porter Cafe,42.287438,-71.149294
157,Recreo Coffee & Roasterie,42.2857447309756,-71.1553767539673
158,Five Guys,42.2578535,-71.1678153
159,Sofia Italian Steakhouse,42.270801,-71.17173
160,Santoros Sicilian Trattoria,42.2644,-71.17769
161,Brickhouse Cafe,42.26789,-71.17629
162,Hakata Ramen,42.2674338,-71.0159611
163,Chili Square,42.267818,-71.016059
164,Lee Han Sandwich,42.2730633552874,-71.0250556547857
165,La Paloma Mexican Restaurant,42.2691794,-71.0237068
166,Assembly,42.27281,-71.02484
167,Ashmont Grill,42.2861,-71.06473
168,Molinari's,42.2832525100023,-71.0558939968374
169,The Haven,42.32168,-71.11038
170,Delfino,42.28696,-71.12953
171,Sophia's Grotto,42.28672,-71.1299
172,La Taqueria Taco Bar & Grill,42.2786755,-71.1190053
173,Rox Diner,42.28599,-71.155602
174,Al Wadi,42.277212,-71.172695
175,Fairouz Restaurant,42.259327,-71.158892
176,The Clam Box,42.276388,-71.009234
177,OB's Cafe,42.2743093,-71.0242032
178,Vivi Bubble Tea Cafe Quincy,42.2737694,-71.0259705
179,Taipei Cuisine,42.2740768,-71.0243466
180,I Love Italian Pizza,42.2813187,-71.0289681
181,Lambert's Rainbow Market,42.2945410061938,-71.0481337489674
182,Neponset Cafe,42.2864450258326,-71.0438522323966
183,El Barrio Mexican Grill,42.2894867,-71.0632446
184,Anh Hong,42.2991816953147,-71.0580706344937
185,Lucy's American Tavern,42.282272,-71.0558719
186,Sweet Life Bakery & Cafe,42.2734565734863,-71.0677490234375
187,Blunch,42.3354929990873,-71.0747301578522
188,Zia Gianna,42.29106,-71.06302
189,Cafe Polonia,42.3288102,-71.057086
190,Doyle’s Cafe,42.3064270019531,-71.1072463989258
191,Milkweed,42.332183,-71.099586
192,Effie's Kitchen,42.28618,-71.12905
193,Fornax Bread Company,42.286162,-71.1298787
194,753 South,42.28721,-71.12924
195,Tony's Market,42.282177,-71.132951
196,Shanti Restaurant - Roslindale,42.2871616763483,-71.1276842865395
197,Himalayan Bistro,42.2873419104816,-71.1497354507446
198,Pleasant Cafe & Restaurant,42.27878,-71.13676
199,West On Centre,42.287136434029,-71.149664475126
200,Banh Mi Ngon,42.2873954772949,-71.1507263183594
201,Los Amigos Taqueria,42.2873305010779,-71.1502859741449
202,BONAPITA,42.277587,-71.163915
203,Bay Sweets,42.27648,-71.16536
204,Johnny's Takeaway,42.27579,-71.16685
205,Cafe Fresh Bagel,42.293528,-71.234793
206,Dunn-Gaherin’s Food and Spirits,42.31271,-71.22397
207,Avana Sushi,42.3515433311481,-71.0609420250346
208,Banh Mi Ba Le,42.3148574,-71.0567825
209,Shanti Indian Cuisine,42.312894,-71.057514
210,Home.Stead Bakery & Cafe,42.3010532798369,-71.0597299039364
